Donor_Id,Decimal_Values,Link_Image,Cand_Name,Cand_Id,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,funding1,fund2,donations3,gifts4,donat5,transac6,grants7,money8,gift9,gift10,funding11,donations12,donations13
1,161322,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX05052&tabIndex=1,"ASHBY, KEN",NULL,H,TX,4,LIB,11837 LOCHWOOD BOULEVARD,NULL,DALLAS,TX,75218,-,-,-,-,-,-,-,-,-,-,-,-,-
2,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6OH00288&tabIndex=1,"ASHBY, KEN",S6OH00288,S,OH,0,REP,",",NULL,",",OH,43119,-,-,-,-,-,-,-,-,-,-,-,-,-
3,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8CA00499&tabIndex=1,"ZIESING, MICHAEL VINCENT",S8CA00499,S,CA,0,GRE,1220 ALOHA ST,NULL,RED BLUFF,CA,96080,-,-,-,-,-,-,-,-,-,-,-,-,-
4,481,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NJ13191&tabIndex=1,"SIRES, ALBIO",one two,H,NJ,8,DEM,6050 BOULEVARD EAST,APT 6B,WEST NEW YORK,NJ,7093,158849.09,-,161321.54,1848.84,163170.38,296686.67,-,-,-,-,-,-,251.52
5,8831,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MI03172&tabIndex=1,"SMITH, DOUGLAS MARK MR. JR.",H6NJ13191,H,MI,3,IND,6050 BOULEVARD EAST,APT 6B,BELMONT,MI,49306,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2311197,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA42078&tabIndex=1,"ROBERTS, BOYD LACHLAN",H6NJ13191,H,CA,48,DEM,668 N COAST HIGHWAY #199,APT 6B,LAGUNA BEACH,CA,92651,NULL,-,-,-,-,-,-,-,-,-,-,-,-
7,6425,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NJ07207&tabIndex=1,"BROWN, LINDSAY CHRISTINE MRS.",H4CA42078,H,NJ,7,REP,352 WEST LN,APT 6B,CLARK,NJ,7066,(2992.44),-,481.21,3883.85,4365.06,-,-,-,-,-,-,-,-
8,3350,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL18092&tabIndex=1,"DETERS, BRIAN",H8NJ07207,H,IL,18,DEM,1806 GREENFIELD DR,APT 6B,CLARK,IL,61550,812.77,-,8831.10,10735.39,19566.49,200.00,-,816.60,-,-,-,-,-
9,104999,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS02173&tabIndex=1,"DAVIS, PAUL T.",H8IL18092,H,IL,2,DEM,1806 GREENFIELD DR,APT 6B,LAWRENCE,KS,66044,31166.41,17775.80,2311197.01,672129.40,2983326.41,550232.50,5150.00,8355.60,418693.57,-,-,19644.48,-
10,1157454,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MO02232&tabIndex=1,"MESSMER, JOHN P.",H8IL18092,H,MO,2,DEM,10267 BUFFTON DR.,APT 6B,ST. LOUIS,MO,63123,288.19,4479.00,6425.00,3658.00,10083.00,-,-,175.00,-,4399.22,-,-,-
11,143793,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MO06134&tabIndex=1,"ANDRES, EDWARD H",H8MO06134,H,MO,6,DEM,2323 NW PARKWAY,APT 6B,ST. JOSEPH,MO,64503,-,-,3350.00,1516.00,4866.00,-,-,7500.00,-,-,-,4.00,1000.00
12,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8CT00113&tabIndex=1,"RAPINI, DOMINIC",S8CT00113,S,CT,0,DEM,PO BOX 781,APT 6B,FAIRFIELD,CT,6824,46631.07,30000.00,104999.00,17132.00,122131.00,-,-,-,-,75991.57,-,-,-
13,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8DE00079&tabIndex=1,"CARPER, THOMAS R",S8DE00079,S,DE,0,DEM,600 WEST MATSON RUN PARKWAY,APT 6B,WILMINGTON,DE,19802,360641.86,-,1157454.00,103121.33,1260577.33,1896543.64,-,-,15497.16,-,-,63180.93,1154.22
14,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS04161&tabIndex=1,"COBB, ALAN EARL",H8KS04161,H,KS,4,REP,P.O. BOX 354,APT 6B,WICHITA,KS,67201,-,-,143793.13,3279.00,147072.13,-,-,-,-,-,-,597.48,2700.00
15,1874607,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4IL18117&tabIndex=1,"COBB, ALAN EARL",H4IL18117,H,IL,18,DEM,18636 NORTH 500 EAST ROAD,APT 6B,DANVERS,IL,61732,-,-,-,-,-,-,-,-,-,-,-,-,-
16,12568,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AL07089&tabIndex=1,"RICE, RICHARD BRAND NEW",H8AL07089,H,AL,7,DEM,714 S. GAY STREET,SUITE 201,KNOXVILLE,TN,37902,-,-,-,-,-,-,-,-,-,-,-,-,-
17,36705,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8SD01089&tabIndex=1,"TERRELL, ERIC BRAND NEW",H8SD01089,H,SD,0,REP,714 S. GAY STREET,SUITE 201,KNOXVILLE,TN,37902,-,-,-,-,-,-,-,-,-,-,-,-,-
18,217,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL16055&tabIndex=1,"SHAPIRO, M. DAVID",H8FL16055,H,FL,16,DEM,5212 SIESTA COVE DRIVE,SUITE 201,SARASOTA,FL,34242,2233.63,155000.00,1874606.59,291707.37,2166313.96,133873.04,5000.00,10200.00,15700.00,200000.00,-,87462.15,-
19,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MI13318&tabIndex=1,"YOUNG, COLEMAN ALEXANDER MR. II",H8MI13318,H,MI,13,DEM,1495 SHERIDAN,SUITE 201,DETROIT,MI,48214,-,1316.21,12568.00,2954.60,15522.60,-,-,-,-,39802.00,-,-,500.00
20,1000,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN01253&tabIndex=1,"JENSEN, VICKI",H8MN01253,H,MN,1,DEM,P.O. BOX 346,SUITE 201,OWATONNA,MN,55060,325.28,-,36705.00,29650.55,66355.55,2536.00,-,1425.00,-,-,2500.00,-,-
21,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MT01257&tabIndex=1,"SWANSON, ELINOR",H8MT01257,H,MT,0,LIB,1800 43RD ST. W.,SUITE 201,BILLINGS,MT,59106,14817.43,15077.83,217.32,2830.78,3048.10,-,-,-,-,9713.59,-,-,-
22,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NJ06159&tabIndex=1,"CHILLARA, SRIDHAR",H8NJ06159,H,NJ,6,REP,24 BOICE LANE,SUITE 201,BELLE MEAD,NJ,8502,-,-,-,-,-,-,-,-,-,-,-,-,-
23,55885,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA51082&tabIndex=1,"MERCADO, JUAN",H6CA51082,H,CA,51,NNE,24 BOICE LANE,UNIT 8,EL CAJON,CA,92021,1000.00,-,1000.00,4.62,1004.62,-,-,10500.00,-,8500.00,-,-,-
24,1647768,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI05132&tabIndex=1,"MERCADO, JUAN",H8WI05132,H,WI,5,DEM,500 LINCOLN AVENUE,APARTMENT 3,EL CAJON,WI,53186,-,-,-,-,-,-,-,-,-,-,-,-,-
25,431505,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AK01015&tabIndex=1,"FITCH, GREGORY FITCH MR",H8AK01015,H,AK,0,NPA,9000 STEPHEN RICHARDS MEMORIAL DR.,APARTMENT 3,JUNEAU,AK,99801,-,-,-,-,-,-,-,-,-,-,-,-,-
